State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
ALABAMA,2017,313871,404,2028,4217,18902,144160,31477,99842,12841,3831454,2186869,57.1,2090373,54.6,96496,4.4,36478,39599,2,5,47,1,0,4,4382,7,882,841,486,2,0,7,6666,86.1,96.1,63.1,91.7,393,240,65,1675,1196,937,177,737,144,268,5.2,7,8065,4896,339,5235,1134,1696,2830,172,2385522
ALASKA,2017,58541,62,863,951,4257,26204,4171,17775,4258,546657,359299,65.7,334449,61.2,24850,6.9,51757,71282,0,1,5,0,0,2,607,12,161,198,87,0,0,2,1075,105,101.8,132,96.9,123,87,13,296,151,112,26,107,28,41,5.2,7,1933,1135,112,1247,249,437,686,37,739515
ARIZONA,2017,444674,416,3581,7440,24207,204515,37627,147830,19058,5487880,3321564,60.5,3160248,57.6,161316,4.9,38223,42505,28,2,35,3,2,27,3748,46,786,1240,581,133,2,5,6638,96.1,95.7,92.9,98.9,741,450,119,2872,1207,966,217,944,211,342,5.2,7,22750,11480,1382,12862,4509,5379,9888,120,7016270
ARKANSAS,2017,201649,258,2053,1935,12425,92489,21862,63374,7253,2322395,1347015,58,1297215,55.9,49800,3.7,37463,38432,0,1,12,0,0,2,924,3,190,264,126,1,0,2,1525,86.2,94.8,62,92.4,286,189,35,966,742,599,122,464,103,183,5.2,7,9531,5409,567,5976,1513,2042,3555,299,2982118
CALIFORNIA,2017,2151855,1830,14721,56622,104454,987114,176690,642033,168391,30819471,19176371,62.2,18257103,59.2,919268,4.8,51697,66331,6,12,265,5,1,173,21830,253,6681,7902,4342,10,1,46,41527,115,103.9,150.4,107,5309,3513,868,16303,5228,4320,1174,5419,1205,1933,5.2,7,119684,68403,10337,78740,15470,25474,40944,461,33871863
COLORADO,2017,323604,221,3858,3838,12721,151483,22813,106809,21861,4394183,2986522,68,2902749,66.1,83773,2.8,48376,58728,6,3,23,0,0,10,3083,16,668,704,387,2,0,3,4905,102.2,98.2,120.6,96.5,1083,725,121,2722,917,722,214,838,229,325,5.2,7,16900,9935,1467,11402,1956,3542,5498,228,5303599
CONNECTICUT,2017,135198,102,837,2813,4428,63509,8890,47310,7309,2877296,1897639,66,1808328,62.8,89311,4.7,60919,68195,0,2,9,0,1,4,686,0,257,229,159,0,0,12,1359,106.8,103.3,113,106.9,456,302,82,1812,639,509,116,506,113,194,5.2,7,9380,7045,804,7849,624,907,1531,107,3588184
DELAWARE,2017,51315,54,334,1082,2891,23477,3970,18138,1369,761627,476270,62.5,454928,59.7,21342,4.5,44396,65571,0,0,4,1,0,2,718,10,159,113,107,0,0,0,1114,100,98.7,97,103.3,110,75,16,409,173,146,36,138,31,52,5.2,7,3443,2049,276,2325,433,685,1118,54,956493
FLORIDA,2017,1140065,1057,7940,18597,58031,527220,88853,395453,42914,16923016,10063431,59.5,9639326,57,424105,4.2,43085,42746,5,9,141,3,1,31,13950,35,3130,2436,1328,7,0,12,21088,100.2,98.2,106.6,97.9,2235,1426,340,9042,3566,2917,625,2861,569,1011,5.2,7,72088,37654,6939,44593,10179,17316,27495,320,18257217
GEORGIA,2017,633854,703,2718,10044,23793,298298,55374,216661,26263,7991260,5048651,63.2,4812097,60.2,236554,4.7,39649,49623,0,3,79,1,1,19,10850,17,1905,1449,858,6,0,2,15190,92.8,97.1,81.5,95.9,903,528,145,3750,2005,1582,333,1385,336,529,5.2,7,32001,19990,4054,24044,2727,5230,7957,450,9110824
